,cena,ulica,pokoje,powierzchnia,piętro,liczba pięter,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,rok budowy
649,1539000.0,Długa,4,110.53,6,9,Do odświeżenia,True,True,1969
650,650000.0,Balonowa,4,70.1,2,4,Do remontu,True,False,1969
651,518000.0,Rudzka,2,36.6,6,10,Do remontu,True,False,1969
652,850000.0,Gajowa,3,63.0,0,3,Gotowe do wprowadzenia,True,False,1969
653,1644000.01,Długa,4,101.3,3,9,Do odświeżenia,True,True,1969
655,739107.0,Konińska,3,62.55,0,4,Do odświeżenia,True,True,1969
657,695000.0,Rudzka,3,56.0,2,3,Gotowe do wprowadzenia,True,True,1969
659,724680.0,Braniborska,3,50.37,4,9,Do remontu,True,True,1969
660,560000.0,Ignacego Mościckiego,4,67.5,0,0,Do remontu,True,True,1969
662,509145.0,Konińska,2,38.87,0,4,Do odświeżenia,True,True,1969
663,539000.0,Ignacego Mościckiego,4,67.5,1,1,Do remontu,True,True,1969
664,559000.0,Obornicka,1,29.0,1,4,Gotowe do wprowadzenia,True,False,1969
665,521258.0,Nefrytowa,2,43.84,1,2,Do odświeżenia,True,True,1969
666,698325.0,Przyjaźni,2,41.78,7,8,Do remontu,True,True,1969
668,707133.0,Konińska,3,60.69,0,4,Do odświeżenia,True,True,1969
669,645000.0,Augustowska,2,50.7,2,3,Gotowe do wprowadzenia,True,True,1969
671,598492.0,Zielna,3,60.15,1,2,Do odświeżenia,True,True,1969
672,650000.0,Rudzka,2,54.0,4,4,Do remontu,True,False,1969
673,535000.0,Zamkowa,2,45.0,3,3,Do remontu,False,False,1969
674,539000.0,Woskowa,3,52.7,0,0,Do remontu,True,True,1969
675,669000.0,Gajowa,3,48.79,4,4,Gotowe do wprowadzenia,True,True,1969
676,469000.0,Ignacego Mościckiego,3,58.2,1,1,Do remontu,True,True,1969
681,269000.0,Kossaka,1,18.0,0,4,Gotowe do wprowadzenia,False,False,1969
684,369000.0,Woskowa,2,32.3,0,0,Do remontu,True,True,1969
685,1057875.0,Przyjaźni,4,65.2,8,8,Do remontu,True,True,1969
686,551900.0,Zielna,3,51.63,2,2,Do odświeżenia,True,True,1969
690,453000.0,Woskowa,3,45.91,1,1,Do remontu,True,True,1969
691,574901.0,Przyjaźni,2,33.13,7,8,Do remontu,True,True,1969
692,329000.0,Ignacego Mościckiego,2,36.5,1,1,Do remontu,True,True,1969
696,610000.0,Woskowa,4,60.25,0,0,Do remontu,True,True,1969
697,1046000.0,Zamkowa,4,77.0,5,9,Do odświeżenia,True,True,1969
698,688900.0,Rudzka,3,60.0,1,4,Do odświeżenia,True,True,1969
699,995000.0,Wita Stwosza,2,58.8,1,4,Do remontu,True,False,1969
703,488400.0,Woskowa,3,49.1,1,1,Do remontu,True,True,1969
704,639300.0,Zielna,3,58.0,0,2,Do odświeżenia,True,True,1969
705,1199000.0,Rychtalska,3,73.2,4,5,Gotowe do wprowadzenia,True,True,1969
706,870000.0,Księska,4,68.0,0,2,Do remontu,True,True,1969
707,1025000.0,Gajowa,5,118.0,1,2,Do odświeżenia,True,True,1969
708,638412.0,Konińska,3,52.91,0,4,Do odświeżenia,True,True,1969
709,720000.0,Zielna,2,48.4,4,4,Do remontu,False,False,1969
710,539000.0,Ignacego Mościckiego,4,67.5,1,1,Do remontu,True,True,1969
712,1099000.0,Długa,3,56.5,7,9,Do remontu,True,True,1969
713,649000.0,Zamkowa,3,55.0,3,3,Gotowe do wprowadzenia,True,True,1969
715,859000.0,Zielna,4,77.5,0,4,Do odświeżenia,True,False,1969
716,849000.0,Długa,3,61.0,0,9,Do remontu,True,True,1969
718,836600.0,Zielna,4,74.5,2,4,Do odświeżenia,True,False,1969
720,439999.0,Zamkowa,1,34.0,2,7,Do remontu,False,False,1969
722,1082000.0,Zamkowa,4,79.0,6,7,Do odświeżenia,True,True,1969
723,680000.0,Rymarska,3,52.0,3,4,Do remontu,True,True,1969
724,598000.0,Trzebnicka,3,52.0,4,4,Gotowe do wprowadzenia,False,False,1969
725,489000.0,Woskowa,3,49.7,1,1,Do remontu,True,True,1969
726,369000.0,Woskowa,2,32.3,0,0,Do remontu,True,True,1969
728,610394.0,Konińska,2,49.94,0,4,Do odświeżenia,True,True,1969
730,969000.0,Długa,4,71.0,1,9,Do remontu,True,True,1969
731,599000.0,Kossaka,2,50.0,4,4,Gotowe do wprowadzenia,False,True,1969
733,740784.0,Konińska,3,64.5,2,4,Do odświeżenia,True,True,1969
734,1395000.0,Na Polance,4,74.0,3,7,Gotowe do wprowadzenia,False,True,1969
735,610000.0,Gajowa,2,38.4,2,6,Gotowe do wprowadzenia,True,True,1969
736,558300.0,Boiskowa,4,59.1,1,2,Do odświeżenia,True,True,1969
738,678999.0,Kossaka,2,56.6,1,6,Gotowe do wprowadzenia,True,False,1969
739,750000.0,Birmańska,2,48.48,0,4,Gotowe do wprowadzenia,True,True,1969
740,2444000.0,Długa,5,149.5,5,9,Do odświeżenia,True,True,1969
741,519000.0,Wincentego Stysia,1,36.0,4,4,Gotowe do wprowadzenia,False,False,1969
742,449000.0,Legnicka,2,36.6,7,10,Do remontu,False,True,1969
743,650000.0,Rudzka,2,54.0,4,4,Do remontu,True,False,1969
745,630000.0,Nyska,1,39.0,5,5,Gotowe do wprowadzenia,True,True,1969
746,597365.0,Gajowa,3,64.58,3,3,Do odświeżenia,True,True,1969
748,1135000.0,Antoniego Wiwulskiego,2,71.0,3,3,Gotowe do wprowadzenia,True,True,1969
749,597628.0,Gajowa,3,56.0,0,3,Do odświeżenia,True,True,1969
750,663500.0,Blizanowicka,3,53.0,1,2,Do remontu,True,True,1969
751,950000.0,Bolesława Prusa,3,60.0,4,4,Do remontu,False,False,1969
752,750000.0,Zielna,2,50.0,4,4,Gotowe do wprowadzenia,True,True,1969
753,570000.0,Zielna,3,54.0,1,11,Do remontu,True,True,1969
754,616895.0,Gajowa,3,49.05,4,4,Gotowe do wprowadzenia,False,False,1969
755,551923.0,Lawendowa,3,51.5,2,4,Do remontu,True,True,1969
756,403000.0,Nowowiejska,2,38.0,4,5,Gotowe do wprowadzenia,False,True,1969
757,739000.0,Zielna,3,60.3,2,5,Do odświeżenia,True,True,1969
758,522329.0,Konińska,2,40.91,3,4,Do odświeżenia,False,True,1969
760,785000.0,Kowieńska,3,75.52,1,1,Gotowe do wprowadzenia,True,True,1969
761,869000.0,Graniczna,3,59.61,1,4,Gotowe do wprowadzenia,True,False,1969
762,424000.0,Wielka 29,1,43.15,4,5,Do remontu,False,False,1969
764,640000.0,Parafialna,3,64.0,2,3,Do remontu,True,False,1969
765,1539000.0,Długa,4,110.53,6,9,Do odświeżenia,True,True,1969
766,650000.0,Balonowa,4,70.1,2,4,Do remontu,True,False,1969
767,518000.0,Rudzka,2,36.6,6,10,Do remontu,True,False,1969
768,850000.0,Gajowa,3,63.0,0,3,Gotowe do wprowadzenia,True,False,1969
769,1644000.01,Długa,4,101.3,3,9,Do odświeżenia,True,True,1969
771,739107.0,Konińska,3,62.55,0,4,Do odświeżenia,True,True,1969
773,695000.0,Rudzka,3,56.0,2,3,Gotowe do wprowadzenia,True,True,1969
775,724680.0,Braniborska,3,50.37,4,9,Do remontu,True,True,1969
776,560000.0,Ignacego Mościckiego,4,67.5,0,0,Do remontu,True,True,1969
778,509145.0,Konińska,2,38.87,0,4,Do odświeżenia,True,True,1969
779,539000.0,Ignacego Mościckiego,4,67.5,1,1,Do remontu,True,True,1969
780,559000.0,Obornicka,1,29.0,1,4,Gotowe do wprowadzenia,True,False,1969
781,521258.0,Nefrytowa,2,43.84,1,2,Do odświeżenia,True,True,1969
782,698325.0,Przyjaźni,2,41.78,7,8,Do remontu,True,True,1969
784,707133.0,Konińska,3,60.69,0,4,Do odświeżenia,True,True,1969
785,645000.0,Augustowska,2,50.7,2,3,Gotowe do wprowadzenia,True,True,1969
